Éí¸ß	ÌåÖØ	ÁìÎ§	Ðä³¤	¼ç¿í	ÐØÎ§	ÖÐÑü	¿ã³¤	Ðä·Ê	¿ãÑü	ÍÎÎ§	´óÍÈÎ§	ÒÂ³¤	Ö±µµ	Ðä¿Ú
173	105	44.5	61.4	52.9	120.5	114.9	100.4	40.2	108.7	118.1	68.9	77.4	73.3	20
173	106	44.7	61.4	53.1	121.1	115.7	100.4	40.5	109.3	118.7	69.3	77.5	73.6	20
173	107	44.8	61.3	53.2	121.8	116.4	100.4	40.7	109.9	119.3	69.7	77.6	73.8	20.1
173	108	45	61.3	53.4	122.4	117.2	100.4	40.9	110.5	119.9	70.1	77.7	74.1	20.2
173	109	45.1	61.3	53.6	123	118	100.4	41.2	111	120.5	70.5	77.8	74.3	20.2
173	110	45.3	61.3	53.8	123.7	118.7	100.3	41.4	111.6	121	70.8	77.9	74.6	20.3
173	111	45.4	61.3	53.9	124.3	119.5	100.3	41.6	112.2	121.6	71.2	78	74.8	20.3
173	112	45.6	61.3	54.1	125	120.3	100.3	41.9	112.8	122.2	71.6	78.1	75.1	20.4
173	113	45.7	61.3	54.3	125.6	121	100.3	42.1	113.3	122.8	72	78.2	75.3	20.4
173	114	45.9	61.3	54.5	126.2	121.8	100.3	42.3	113.9	123.4	72.4	78.3	75.6	20.5
173	115	46	61.3	54.7	126.9	122.6	100.3	42.6	114.5	124	72.8	78.4	75.8	20.6
173	116	46.2	61.2	54.8	127.5	123.3	100.3	42.8	115.1	124.5	73.2	78.5	76.1	20.6
173	117	46.3	61.2	55	128.1	124.1	100.3	43	115.6	125.1	73.5	78.6	76.3	20.7
173	118	46.5	61.2	55.2	128.8	124.8	100.3	43.3	116.2	125.7	73.9	78.7	76.6	20.7
173	119	46.6	61.2	55.4	129.4	125.6	100.3	43.5	116.8	126.3	74.3	78.8	76.8	20.8
173	120	46.8	61.2	55.6	130	126.4	100.2	43.7	117.4	126.9	74.7	78.9	77.1	20.8
